Clean Sample ID,Experiment ID,Polarization,Eotaxin,Eotaxin-3,GM-CSF,IL-1a,IL-1B,IL-2,IL-5,IL-6,IL-7,IL-8,IL-10,IL-12p40,IL-12p70,IL-13,IL-15,IL-16,IL-17,IP-10,MCP-1,MCP-4,MDC,MIP-1a,MIP-1B,TARC,TNF-a,TNF-B,VEGF
09 -M M0,9,M0,73.1376452,50.35756567,0.724472,0.721638194,4.940649609,5.76729068,0.349554942,10.29516182,0.679594104,13563.69844,9.001689182,0.530645731,2.593672111,66.36255404,0.681251436,23.42209069,0,142.3213909,4112.870376,60.66651869,500.4348327,71.22075622,992.5368766,3.811776073,20.24455261,0,86.58332701
09 -M M1,9,M1,227.6742285,254.0123605,34.57913111,42.8945021,699.9651349,21.33418387,0.117600215,1577.675084,0.172956487,193836.1751,1551.116137,215.8065524,11.87592,95.92448269,5.244871007,100.6046851,0.520219486,20662.70366,4087.538378,120.8863331,786.017856,0,15074.71133,49.19040618,3349.470093,2.436563208,385.5891615
09 -M M2,9,M2,114.6183229,231.6976334,1.104835547,0.75391218,5.262751743,6.874285892,0,23.94612375,0.450059542,13600.13426,6.206024983,0.191079697,7.556197841,79.54798259,0.390396251,76.02147364,0.060661381,253.1500835,4279.088745,3830.818774,6891.824908,507.5433464,4966.460351,105.9774723,35.70250658,0.201124836,5.440167719
10 -M M0.1,10,M0,111.267372,39.71804356,0.284556025,0,3.806760013,5.443709348,0,21.88125254,0.284201906,10079.78094,3.87131508,0.255847229,3.713788518,60.18062607,0.278652076,13.03079657,0,761.2642382,4123.776196,55.78626308,501.1275885,79.44315711,116.9659405,47.52674997,13.03863103,0,35.2004574
10 -M M1.1,10,M1,232.9002855,215.1765594,4.597713746,2.912551526,25.20152853,12.94364743,0,2878.051037,0.46137198,69698.76434,161.4399099,852.5281525,22.3681036,81.56709534,4.772021035,27.62352392,6.55006229,26846.75635,4242.776516,119.7974729,1269.255356,0,13248.99458,63.00032113,3203.037392,2.49546949,246.1569502
10 -M M2.1,10,M2,104.0228966,474.5580306,0,0.195928595,1.644188821,1.61914678,0.018523419,8.806902656,0.381874813,4820.019932,2.610444414,0.274293246,2.77445657,27.8214107,0.436434737,28.93360204,0,1221.518547,3977.276731,2274.139292,7541.122719,123.0397377,262.7758072,1101.44822,5.726542155,0.047823112,5.559656321
11 M0,11,M0,95.35935996,41.33313962,0.767084078,0,3.778007731,5.247710875,0.124708809,7.975195296,0.381874813,7369.565234,4.795096969,0.439430437,1.781742524,47.84280167,0.573134544,23.98780544,0,97.3887447,3925.706634,42.10750225,2955.625668,98.38588946,303.8729191,15.7103411,11.60220407,0.12011006,1.158189811
11 M1,11,M1,206.0751422,239.1039849,27.34676084,6.005424039,53.18706964,15.01803158,0.050242582,2732.952457,0.070164819,114779.396,1812.857749,933.4331236,14.64975233,78.76480142,6.750388724,43.40013915,3.047527725,24214.86325,4017.935418,98.49188544,1566.929534,0,16206.40874,62.98946175,3262.287044,13.52721587,840.6524757
11 M2,11,M2,112.8280239,115.0197217,0.700075531,0.440109304,1.770541395,2.459238713,0.025553279,10.46850054,0.398973589,4529.76649,6.969076015,2.436765399,4.043555835,39.43616368,0.390396251,19.78924921,0,234.9088224,4042.825439,2935.462042,40295.87315,445.8598907,2216.504367,2451.175119,11.61637414,0.072371749,0
12 M0,12,M0,98.41921091,34.68228154,0.169342828,0,4.01046785,5.841125072,0,9.797779528,0.398973589,8047.603409,5.400786098,0,2.577233158,66.51360021,0.536866575,6.151981584,0,259.3306584,3841.257049,58.86093724,1348.142786,70.95889563,123.3552792,21.00514739,11.18315451,0,49.3436361
12 M1,12,M1,168.3946005,120.1461324,13.57356892,11.71377463,132.1914008,17.27126788,0.256590002,2515.68991,0.094786783,64149.45723,1685.877746,307.3559885,13.59287157,105.5743296,4.561091001,31.06191956,0.953328307,3078.078754,4032.006195,83.36491101,645.378271,7317.158116,2267.921333,39.72635573,3215.876223,0.895367715,584.6816982
12 M2,12,M2,110.1085637,178.8144254,0.515859392,1.910524561,2.188609705,2.404060303,0,12.23102137,0.46137198,6324.007089,2.697012162,1.44955379,4.079984261,40.11282249,0.217175738,3.932818209,0,490.3701622,3940.540892,3405.849016,4826.34382,143.872748,609.43871,603.1751107,16.57201263,0.043665679,10.61551527